pressure,permeability,porosity,density,type,depth
2600,0,1.2,2.94,Amostra Lateral,5389
2600,0,1.2,2.91,Amostra Lateral,5390
2600,152,2.1,2.91,Amostra Lateral,5391
2600,0,2.3,2.94,Amostra Lateral,5392
2600,32.6,14.4,2.69,Amostra Lateral,5394
2600,353,19.1,2.69,Amostra Lateral,5395
2600,30.7,9.4,2.71,Amostra Lateral,5396
2600,144,13.4,2.7,Amostra Lateral,5398
2600,149,5.3,2.69,Amostra Lateral,5399
2600,531,9,2.7,Amostra Lateral,5400
2600,0,2.9,2.73,Amostra Lateral,5406
2600,0,3.6,2.74,Amostra Lateral,5411
2600,14.5,8.8,2.69,Amostra Lateral,5412
2600,99,11.1,2.74,Amostra Lateral,5413
2600,0.26,7.1,2.72,Amostra Lateral,5414
2600,19.3,13.4,2.75,Amostra Lateral,5415
2600,9,7.4,2.72,Amostra Lateral,5416
2600,0,3.8,2.72,Amostra Lateral,5417
2600,575,14.3,2.76,Amostra Lateral,5420
2600,7.71,11.4,2.7,Amostra Lateral,5421
2600,872,10.6,2.71,Amostra Lateral,5422
2600,4,11.7,2.71,Amostra Lateral,5423
2600,0,2.5,2.72,Amostra Lateral,5424
2600,0,6.3,2.77,Amostra Lateral,5425
2600,299,5.8,2.69,Amostra Lateral,5426
2600,208,7.5,2.7,Amostra Lateral,5427
2600,1.86,10,2.72,Amostra Lateral,5428
2600,5.15,8.4,2.68,Amostra Lateral,5429
2600,1.8,11.1,2.78,Amostra Lateral,5431
2600,748,8.6,2.75,Amostra Lateral,5432
2700,0,1,2.75,Amostra Lateral,5433
2700,0,2.8,2.73,Amostra Lateral,5435
2700,715,10.4,2.74,Amostra Lateral,5437
2700,16,5.6,2.73,Amostra Lateral,5439
2700,472,7.6,2.58,Amostra Lateral,5441
2700,122,7.7,2.72,Amostra Lateral,5442
2700,0,3.4,2.7,Amostra Lateral,5443
2700,183,6.6,2.71,Amostra Lateral,5446
2700,232,8.4,2.73,Amostra Lateral,5447
2700,113,6.6,2.72,Amostra Lateral,5448
2700,0.27,6.5,2.75,Amostra Lateral,5451
2700,37.3,16.9,2.75,Amostra Lateral,5453
2700,295,6.4,2.73,Amostra Lateral,5455
2700,109,5.2,2.71,Amostra Lateral,5457
2700,963,6.5,2.69,Amostra Lateral,5460
2700,376,6.9,2.73,Amostra Lateral,5461
2700,606,7.5,2.7,Amostra Lateral,5462
2700,2.79,6.2,2.65,Amostra Lateral,5463
2700,0.45,7.8,2.71,Amostra Lateral,5464
2700,286,7.4,2.7,Amostra Lateral,5465
2700,0,1.1,2.69,Amostra Lateral,5467
